cartodb_id,the_geom,field_1,centroid,lat,long,count,source_cartodb_id,source_field_1
18328,0101000020E61000000D5B6908FD7C52C03F613F7A795A4440,dxtrf,POINT,40.7068322,-73.9529439,2,1,bk
36535,0101000020E6100000B08BE423507D52C0B3F24728685C4440,hels,POINT,40.72192863,-73.95801637,1,1,bk
8638,0101000020E61000002BC633471A7B52C0EF04355BFD594440,JHUBB,POINT,40.70304432,-73.92347889,4,1,bk
19430,0101000020E61000004AED66C2067B52C07F4B84364E5A4440,dubin,POINT,40.70551187,-73.92228756,2,1,bk
29345,0101000020E61000009A7CB3CD8D7D52C0397F130A115C4440,i3dox,POINT,40.71927,-73.96178,1,1,bk
54,0101000020E610000019641E3BA07A52C05D32AF9F55594440,iofwilkinson,POINT,40.69792553,-73.91602972,150,1,bk
104,0101000020E610000081EB690BB87D52C01C14E6A0F85B4440,RobSlater10,POINT,40.71852504,-73.96435819,113,1,bk
192,0101000020E6100000C7FF70994B7B52C010BFEEB6035B4440,ChibiChibz,POINT,40.71105086,-73.92648922,76,1,bk
249,0101000020E61000006C3FF8D45A7A52C0A8E7F6F5705A4440,luciataveras66,POINT,40.70657229,-73.91179394,65,1,bk
297,0101000020E6100000B2154DCAD17D52C0DFD349749E5B4440,GLYNBRWN,POINT,40.71577314,-73.96592958,59,1,bk
300,0101000020E6100000D3A1D3F3AE7B52C0DCD33848465A4440,babyhorsies,POINT,40.70526984,-73.93255325,59,1,bk
313,0101000020E6100000D79DD59FD07B52C0C768BA2A925A4440,GrungyBerns,POINT,40.70758566,-73.93460842,57,1,bk
339,0101000020E6100000BE688F17527A52C035B0B8AC80574440,ss14890,POINT,40.68361434,-73.9112605,54,1,bk
373,0101000020E61000000B372A819E7952C0F7C0F99A86534440,Cass828,POINT,40.65254533,-73.90029935,51,1,bk
452,0101000020E6100000F6DCD7BB1E7D52C04A413BD0585B4440,rbxbx,POINT,40.71364787,-73.95500084,45,1,bk
486,0101000020E61000005C4F3AB22E7A52C08B3B189041584440,fidelmartinez5_,POINT,40.68950082,-73.90910011,42,1,bk
531,0101000020E61000004ABB2C81EF7952C0B583953329554440,thezaystory,POINT,40.66531987,-73.9052432,40,1,bk
533,0101000020E610000013CDC9AC1A7B52C051E28CC478594440,DaColdOneIVS,POINT,40.69899804,-73.92350311,40,1,bk
556,0101000020E6100000901F9EE3EB7C52C01CFDDC8E785B4440,deya0411,POINT,40.71461664,-73.95189753,39,1,bk
579,0101000020E61000006778795B257C52C0E3F7DB43E7594440,KITTENTHEBAND,POINT,40.70237015,-73.93978011,38,1,bk
580,0101000020E6100000E091674D627D52C07F3F468A125C4440,roc28jaw,POINT,40.7193158,-73.9591249,38,1,bk
621,0101000020E6100000A3B59A5C297C52C089F7F3D8DC594440,TheAntiNerdSays,POINT,40.70205223,-73.94002452,37,1,bk
652,0101000020E610000049B7CAB80E7C52C05667107A115B4440,SoccerMomSyd,POINT,40.71147085,-73.93839855,35,1,bk
713,0101000020E610000021208050EE7952C0431B04462C564440,_by_b,POINT,40.67322612,-73.90517056,33,1,bk
719,0101000020E6100000C84429A5107A52C068B135D7C0574440,SlaterBater,POINT,40.68557253,-73.90726594,33,1,bk
733,0101000020E6100000B07D1A5A117D52C0C99DA942C95B4440,mariasherm,POINT,40.71707948,-73.95418408,32,1,bk
749,0101000020E6100000FE04DD7FA07B52C069AC9A73B25A4440,dennymui,POINT,40.70857091,-73.93167111,32,1,bk
762,0101000020E6100000115385B3197D52C051E6B4E10F5C4440,br0nze_g0dd3ss,POINT,40.71923467,-73.95469368,32,1,bk
834,0101000020E610000066651C9FA07B52C039D5D65FE1594440,CUNTMAFIA,POINT,40.70219038,-73.93167856,30,1,bk
837,0101000020E6100000D2BC4EB0207A52C0660785D67D584440,zebraaaa002,POINT,40.69134027,-73.90824516,30,1,bk
850,0101000020E610000092EDF806D17D52C009677DEB3F5C4440,yulebowdown,POINT,40.72070068,-73.96588301,29,1,bk
866,0101000020E6100000F5F53AB1207C52C0F83A25F7265B4440,BossLadyVeeks,POINT,40.71212663,-73.93949538,29,1,bk
869,0101000020E6100000405496F80E7C52C0B12C3D3FB15A4440,benmatthewempey,POINT,40.70853415,-73.93841376,29,1,bk
871,0101000020E610000020802FE0407A52C0D3F38F3A115A4440,Ballislove7281,POINT,40.70365078,-73.9102097,29,1,bk
901,0101000020E6100000A70571169D7C52C0BA2E1DEF655B4440,naughtysneaky,POINT,40.71404828,-73.94708787,28,1,bk
906,0101000020E6100000B7DD9943B17C52C054FEB5BCF25B4440,NicholasDOnza,POINT,40.71834525,-73.94831934,28,1,bk
931,0101000020E610000003F15754067B52C0A486992A565A4440,RdoubleJ,POINT,40.70575459,-73.92226132,27,1,bk
932,0101000020E610000066E7C0B4E07D52C08FC578C5BA5B4440,Faraah_Pepito94,POINT,40.71663731,-73.96683997,27,1,bk
952,0101000020E6100000122F91031D7B52C0603087F6145A4440,only_girl_brit,POINT,40.70376474,-73.92364587,27,1,bk
1000,0101000020E6100000CCBAB9D74D7D52C0129D4C79005B4440,philsturgeon,POINT,40.71095196,-73.95787614,26,1,bk
1070,0101000020E610000046D0B9577D7B52C05600BEA191594440,FedermanBen,POINT,40.69975683,-73.92952531,25,1,bk
1071,0101000020E610000019FA2F29A17952C09B8B854280594440,RealityHitHer_,POINT,40.69922668,-73.90046148,25,1,bk
1111,0101000020E610000026F7BF4C297C52C01686C8E96B5B4440,VinniLivesinNYC,POINT,40.71423075,-73.94002074,24,1,bk
1126,0101000020E6100000065DCA12407952C0425A84DE72544440,Thatsuitsyou,POINT,40.65975553,-73.89453573,24,1,bk
1173,0101000020E610000084EBF6FE2B7C52C07D778E75AF5B4440,yungseinfeId,POINT,40.71629209,-73.9401853,23,1,bk
1195,0101000020E61000000813F36AC87A52C0C46CF229BA594440,brandonzwa,POINT,40.70099377,-73.91848253,23,1,bk
1214,0101000020E61000007F8BEB6B5F7A52C039C63E9678574440,XXXperienced,POINT,40.68336752,-73.91207407,22,1,bk
1219,0101000020E6100000DAED0E843F7D52C0A77DAD2A7F5C4440,myheartbledsoe,POINT,40.72263082,-73.9570017,22,1,bk
